20:58:25 [w1] start | max_cycles=5000
20:58:25 [w4] start | max_cycles=5000
20:58:25 [w2] start | max_cycles=5000
20:58:25 [w5] start | max_cycles=5000
20:58:25 [w0] start | max_cycles=5000
20:58:25 [w3] start | max_cycles=5000
21:13:04 [w5] start | max_cycles=5000
21:13:04 [w3] start | max_cycles=5000
21:13:04 [w2] start | max_cycles=5000
21:13:04 [w1] start | max_cycles=5000
21:13:04 [w0] start | max_cycles=5000
21:13:04 [w4] start | max_cycles=5000
21:14:32 [w0] start | max_cycles=5000
21:18:43 [w2] start | max_cycles=5000
21:18:43 [w5] start | max_cycles=5000
21:18:43 [w1] start | max_cycles=5000
21:18:43 [w4] start | max_cycles=5000
21:18:43 [w0] start | max_cycles=5000
21:18:43 [w3] start | max_cycles=5000
