14:34:55 [w0 run  1] start=3.946 → R=3.161119
14:35:34 [w4 run  1] start=3.894 → R=3.160400
14:35:41 [w2 run  1] start=3.948 → R=3.286974
14:36:04 [w3 run  1] start=3.898 → R=3.447166
14:36:25 [w5 run  1] start=3.896 → R=3.618853
14:36:56 [w4 run  2] start=3.971 → R=4.382747
14:37:13 [w1 run  1] start=3.934 → R=3.805048
14:37:33 [w5 run  2] start=3.949 → R=3.221350
14:37:38 [w0 run  2] start=3.956 → R=3.368844
14:38:02 [w3 run  2] start=3.908 → R=3.177037
14:38:55 [w4 run  3] start=3.980 → R=3.522172
14:39:25 [w1 run  2] start=3.946 → R=3.787833
14:40:12 [w4 run  4] start=3.940 → R=3.143899
14:41:26 [w0 run  3] start=3.939 → R=3.154747
14:41:29 [w1 run  3] start=3.761 → R=3.383865
14:41:53 [w4 run  5] start=3.943 → R=3.138746
