13:06:35 [run   2] R=3.112312
13:06:36 [run   3] R=3.103548
13:06:37 [run   4] R=3.172192
13:06:38 [run   5] R=3.112189
13:06:40 [run   1] R=3.101746
13:06:40 [run   0] R=3.060006
13:07:09 [run   8] R=3.075896
13:07:10 [run   9] R=3.106999
13:07:13 [run  10] R=3.112635
13:07:13 [run  11] R=3.094803
13:07:17 [run   6] R=3.110022
13:07:17 [run   7] R=3.192983
13:07:43 [run  14] R=3.089354
13:07:44 [run  15] R=3.145635
13:07:49 [run  16] R=3.066363
13:07:50 [run  17] R=3.094597
13:07:54 [run  13] R=3.123962
13:07:54 [run  12] R=3.062980
13:08:16 [run  20] R=3.096086
13:08:17 [run  21] R=3.143445
13:08:24 [run  23] R=3.128585
13:08:24 [run  22] R=3.074656
13:08:31 [run  19] R=3.107735
13:08:31 [run  18] R=3.040223
13:08:50 [run  26] R=3.082879
13:08:52 [run  27] R=3.129711
13:08:58 [run  29] R=3.079453
13:08:59 [run  28] R=3.129697
13:09:05 [run  24] R=3.126250
13:09:06 [run  25] R=3.101941
13:09:24 [run  32] R=3.126355
13:09:26 [run  33] R=3.126213
13:09:34 [run  34] R=3.118504
13:09:35 [run  35] R=3.107665
13:09:41 [run  30] R=3.137592
13:09:41 [run  31] R=3.073722
13:09:58 [run  38] R=3.106435
13:10:01 [run  39] R=3.109688
13:10:08 [run  40] R=3.058945
13:10:09 [run  41] R=3.127864
13:10:14 [run  36] R=3.086312
13:10:15 [run  37] R=3.120011
13:10:32 [run  44] R=3.142110
13:10:36 [run  45] R=3.126034
13:10:41 [run  46] R=3.107274
13:10:43 [run  47] R=3.110788
13:10:48 [run  42] R=3.070033
13:10:48 [run  43] R=3.072931
13:11:21 [run  48] R=3.106280
13:11:22 [run  49] R=3.148957
