

=== topo_search start 2026-03-29 07:59:22 ===
Current best: R=2.960586
Seeds per topology: 5

=== 1-13-1 (1-13-1) ===
  seed 0 P1: R=5.1418
  seed 1 P1: R=4.2657
  seed 2 P1: R=4.7201
  seed 3 P1: R=4.6935
  seed 4 P1: R=4.0751
  best for 1-13-1: R=inf

=== 1-12-2 (1-12-2) ===
  seed 0 P1: R=3.1572
  seed 0 P2: R=3.085717
  seed 0 P3: R=3.031043
  seed 1 P1: R=3.2270
  seed 1 P2: R=3.180845
  seed 2 P1: R=3.8421
  seed 3 P1: R=3.6616
  seed 4 P1: R=3.5413
  best for 1-12-2: R=3.031043

=== 1-11-3 (1-11-3) ===
  seed 0 P1: R=3.6122
  seed 1 P1: R=4.6443
  seed 2 P1: R=3.2007
  seed 2 P2: R=3.090716
  seed 2 P3: R=3.006432
  seed 3 P1: R=4.3907
  seed 4 P1: R=3.1808
  seed 4 P2: R=3.180793
  best for 1-11-3: R=3.006432

=== 1-10-4 (1-10-4) ===
  seed 0 P1: R=3.2827
  seed 0 P2: R=3.282707
  seed 1 P1: R=4.3025
  seed 2 P1: R=3.2218
  seed 2 P2: R=3.076184
  seed 2 P3: R=3.076184
  seed 3 P1: R=3.6243
  seed 4 P1: R=4.4634
  best for 1-10-4: R=3.076184

=== 3-9-3 (3-9-3) ===
  seed 0 P1: R=5.1710
  seed 1 P1: R=5.3959
  seed 2 P1: R=5.1435
  seed 3 P1: R=3.7292
  seed 4 P1: R=3.3182
  seed 4 P2: R=3.079020
  seed 4 P3: R=3.010218
  best for 3-9-3: R=3.010218

=== 3-10-2 (3-10-2) ===
  seed 0 P1: R=4.4977
  seed 1 P1: R=4.0777
  seed 2 P1: R=3.6584
  seed 3 P1: R=3.8138
  seed 4 P1: R=4.0093
  best for 3-10-2: R=inf

=== 3-11-1 (3-11-1) ===
  seed 0 P1: R=3.5849
  seed 1 P1: R=5.6963
  seed 2 P1: R=3.7542
  seed 3 P1: R=4.9531
  seed 4 P1: R=6.2216
  best for 3-11-1: R=inf

=== 4-7-4 (4-7-4) ===
  seed 0 P1: R=5.1962
  seed 1 P1: R=4.4982
  seed 2 P1: R=4.8580
  seed 3 P1: R=3.4585
  seed 3 P2: R=3.074909
  seed 3 P3: R=3.038265
  seed 4 P1: R=3.2133
  seed 4 P2: R=3.114985
  best for 4-7-4: R=3.038265

=== 4-9-2 (4-9-2) ===
  seed 0 P1: R=3.3602
  seed 0 P2: R=3.221476
  seed 1 P1: R=4.3981
  seed 2 P1: R=4.5423
  seed 3 P1: R=5.5779
  seed 4 P1: R=4.5818
  best for 4-9-2: R=inf

=== 4-8-3 (4-8-3) ===
  seed 0 P1: R=4.0885
  seed 1 P1: R=3.1572
  seed 1 P2: R=3.080062
  seed 1 P3: R=3.027613
  seed 2 P1: R=4.4775
  seed 3 P1: R=5.8317
  seed 4 P1: R=4.8604
  best for 4-8-3: R=3.027613

=== 5-5-5 (5-5-5) ===
  seed 0 P1: R=4.1424
  seed 1 P1: R=4.5691
  seed 2 P1: R=4.9927
  seed 3 P1: R=3.7849
  seed 4 P1: R=5.3432
  best for 5-5-5: R=inf

=== 5-8-2 (5-8-2) ===
  seed 0 P1: R=3.9748
  seed 1 P1: R=3.5665
  seed 2 P1: R=3.9393
  seed 3 P1: R=3.7667
  seed 4 P1: R=3.1547
  seed 4 P2: R=3.154692
  best for 5-8-2: R=inf

=== 5-7-3 (5-7-3) ===
  seed 0 P1: R=3.8874
  seed 1 P1: R=3.4223
  seed 1 P2: R=3.165242
  seed 2 P1: R=4.5448
  seed 3 P1: R=4.0818
  seed 4 P1: R=5.1309
  best for 5-7-3: R=inf

=== 0-13-2 (0-13-2) ===
  seed 0 P1: R=3.9292
  seed 1 P1: R=3.3442
  seed 1 P2: R=3.114203
  seed 2 P1: R=4.2046
  seed 3 P1: R=4.5589
  seed 4 P1: R=5.2288
  best for 0-13-2: R=inf

=== 0-12-3 (0-12-3) ===
  seed 0 P1: R=4.5499
  seed 1 P1: R=3.2811
  seed 1 P2: R=3.118075
  seed 2 P1: R=5.1576
  seed 3 P1: R=3.6276


=== topo_search start 2026-03-29 11:31:22 ===
Current best: R=2.960586
Seeds per topology: 10

=== 1-13-1 (1-13-1) ===
  seed 0 P1: R=4.9219
  seed 1 P1: R=5.7641
  seed 2 P1: R=3.5015
  seed 3 P1: R=3.5649
  seed 4 P1: R=3.2200
  seed 4 P2: R=3.111740
  seed 5 P1: R=5.4578
  seed 6 P1: R=3.2549
  seed 6 P2: R=3.084215
  seed 6 P3: R=3.044654
  seed 7 P1: R=3.2456
  seed 7 P2: R=3.202700
  seed 8 P1: R=4.0793
  seed 9 P1: R=3.2182
  seed 9 P2: R=3.069684
  seed 9 P3: R=3.021651
  best for 1-13-1: R=3.021651

=== 1-12-2 (1-12-2) ===
  seed 0 P1: R=3.9815
  seed 1 P1: R=4.0503
  seed 2 P1: R=3.7435
  seed 3 P1: R=4.7251
  seed 4 P1: R=5.7095
  seed 5 P1: R=3.8971
  seed 6 P1: R=4.3034
  seed 7 P1: R=5.0961
  seed 8 P1: R=3.6620
  seed 9 P1: R=4.1059
  best for 1-12-2: R=inf

=== 1-11-3 (1-11-3) ===
  seed 0 P1: R=4.4991
  seed 1 P1: R=3.1943
  seed 1 P2: R=3.102669
  seed 2 P1: R=4.9876
